Year Response Horror MorphForm Distance Helpee Verb Helper Year_new Distance_log
1994 Bare Yes help 2 Yes make Missing 4 0.693147180559945
1994 Bare Yes help 2 Yes cuff Missing 4 0.693147180559945
1994 Bare No help 2 Yes solve Anim 4 0.693147180559945
1994 Bare No help 2 Yes select Anim 4 0.693147180559945
1994 Bare No help 2 Yes identify Anim 4 0.693147180559945
1994 Bare Yes help 2 Yes interpret Anim 4 0.693147180559945
1994 Bare Yes help 2 Yes understand Anim 4 0.693147180559945
1994 Bare No help 2 Yes spot Inanim 4 0.693147180559945
1994 Bare No help 2 Yes narrow Inanim 4 0.693147180559945
1994 Bare No help 2 Yes make Inanim 4 0.693147180559945
1994 TO No help 2 Yes forget Inanim 4 0.693147180559945
1994 Bare No help 2 Yes accomplish Inanim 4 0.693147180559945
1994 Bare No help 2 Yes understand Inanim 4 0.693147180559945
1994 Bare No help 2 Yes evaluate Inanim 4 0.693147180559945
1994 Bare Yes help 2 Yes keep Missing 4 0.693147180559945
1994 Bare Yes help 2 Yes refine Missing 4 0.693147180559945
1994 Bare Yes help 2 Yes manage Missing 4 0.693147180559945
1993 Bare Yes help 2 Yes sit Anim 3 0.693147180559945
1993 Bare Yes help 2 Yes find Missing 3 0.693147180559945
1993 Bare No help 2 Yes rip Anim 3 0.693147180559945
1993 Bare Yes help 2 Yes interact Missing 3 0.693147180559945
1993 Bare No help 2 Yes get Anim 3 0.693147180559945
1993 Bare Yes help 2 Yes regain Anim 3 0.693147180559945
1993 Bare Yes help 2 Yes hire Missing 3 0.693147180559945
1993 TO No help 2 Yes reduce Inanim 3 0.693147180559945
1993 Bare Yes help 2 Yes taper Missing 3 0.693147180559945
1993 Bare Yes help 2 Yes keep Missing 3 0.693147180559945
1993 Bare Yes help 2 Yes figure Missing 3 0.693147180559945
1993 Bare Yes help 2 Yes rebuild Missing 3 0.693147180559945
1993 Bare No help 2 Yes learn Inanim 3 0.693147180559945
1993 Bare Yes help 2 Yes lose Missing 3 0.693147180559945
1993 Bare Yes help 2 Yes get Missing 3 0.693147180559945
1992 Bare No help 2 Yes get Inanim 2 0.693147180559945
1992 Bare No help 2 Yes maintain Inanim 2 0.693147180559945
1992 Bare Yes help 2 Yes bring Anim 2 0.693147180559945
1992 Bare Yes help 2 Yes plan Anim 2 0.693147180559945
1992 Bare Yes help 2 Yes develop Anim 2 0.693147180559945
1992 Bare No help 2 Yes speak Anim 2 0.693147180559945
1992 Bare No help 2 Yes endure Inanim 2 0.693147180559945
1992 Bare Yes help 2 Yes feel Missing 2 0.693147180559945
1992 Bare Yes help 2 Yes register Anim 2 0.693147180559945
1992 Bare Yes help 2 Yes work Anim 2 0.693147180559945
1992 Bare No help 2 Yes create Inanim 2 0.693147180559945
1992 Bare No help 2 Yes solve Anim 2 0.693147180559945
1992 Bare No help 2 Yes recoup Inanim 2 0.693147180559945
1992 Bare No help 2 Yes stand Inanim 2 0.693147180559945
1992 TO No help 2 Yes understand Inanim 2 0.693147180559945
1992 Bare No help 2 Yes distinguish Inanim 2 0.693147180559945
1992 Bare No help 2 Yes maintain Inanim 2 0.693147180559945
1992 Bare Yes help 2 Yes protect Missing 2 0.693147180559945
1992 Bare Yes help 2 Yes make Missing 2 0.693147180559945
1991 Bare Yes help 2 Yes gather Anim 1 0.693147180559945
1991 Bare Yes help 2 Yes decide Missing 1 0.693147180559945
1991 Bare Yes help 2 Yes grow Missing 1 0.693147180559945
1991 Bare No help 2 Yes overcome Inanim 1 0.693147180559945
1991 Bare Yes help 2 Yes negotiate Anim 1 0.693147180559945
1991 TO No help 2 Yes be Inanim 1 0.693147180559945
1991 Bare Yes help 2 Yes climb Inanim 1 0.693147180559945
1991 Bare Yes help 2 Yes solve Missing 1 0.693147180559945
1991 Bare No help 2 Yes learn Anim 1 0.693147180559945
1991 Bare Yes help 2 Yes interpret Anim 1 0.693147180559945
1991 Bare No help 2 Yes assess Inanim 1 0.693147180559945
1991 Bare No help 2 Yes maintain Inanim 1 0.693147180559945
1991 Bare No help 2 Yes get Inanim 1 0.693147180559945
1991 Bare No help 2 Yes find Inanim 1 0.693147180559945
1991 TO No help 2 Yes see Inanim 1 0.693147180559945
1991 Bare No help 2 Yes prioritize Anim 1 0.693147180559945
1991 Bare Yes help 2 Yes compare Missing 1 0.693147180559945
1991 Bare Yes help 2 Yes judge Missing 1 0.693147180559945
1991 Bare Yes help 2 Yes complain Missing 1 0.693147180559945
1991 Bare Yes help 2 Yes put Missing 1 0.693147180559945
1990 Bare Yes help 2 Yes keep Missing 0 0.693147180559945
1990 Bare Yes help 2 Yes obtain Anim 0 0.693147180559945
1990 Bare No help 2 Yes get Anim 0 0.693147180559945
1990 TO No help 2 Yes go Inanim 0 0.693147180559945
1990 Bare Yes help 2 Yes get Missing 0 0.693147180559945
1990 Bare Yes help 2 Yes die Anim 0 0.693147180559945
1990 Bare Yes help 2 Yes relocate Anim 0 0.693147180559945
1990 Bare No help 2 Yes identify Anim 0 0.693147180559945
1990 Bare No help 2 Yes change Inanim 0 0.693147180559945
1990 Bare Yes help 2 Yes unwind Missing 0 0.693147180559945
1990 TO Yes help 2 Yes realize Missing 0 0.693147180559945
1990 Bare Yes help 2 Yes remember Missing 0 0.693147180559945
1990 Bare Yes help 2 Yes set Missing 0 0.693147180559945
2012 Bare No help 1 No keep Anim 22 0
2012 Bare Yes help 1 No shape Anim 22 0
2012 Bare Yes help 1 No cook Anim 22 0
2012 Bare Yes help 1 No care Anim 22 0
2012 Bare No help 1 No preserve Inanim 22 0
2012 Bare No help 1 No tighten Inanim 22 0
2012 Bare No help 1 No unravel Inanim 22 0
2012 Bare No help 1 No balance Inanim 22 0
2012 Bare No help 1 No put Inanim 22 0
2012 Bare No help 1 No identify Inanim 22 0
2012 Bare No help 1 No prove Inanim 22 0
2012 Bare No help 1 No prevent Inanim 22 0
2012 Bare No help 1 No neutralize Inanim 22 0
2012 Bare Yes help 1 No preserve Missing 22 0
2012 Bare Yes help 1 No determine Missing 22 0
2012 Bare Yes help 1 No pay Missing 22 0
2012 Bare Yes help 1 No support Missing 22 0
2012 Bare Yes help 1 No prevent Missing 22 0
2011 Bare No help 1 No protect Anim 21 0
2011 TO No help 1 No shift Anim 21 0
2011 Bare Yes help 1 No clean Anim 21 0
2011 Bare Yes help 1 No make Anim 21 0
2011 Bare No help 1 No conceal Inanim 21 0
2011 Bare No help 1 No set Inanim 21 0
2011 Bare No help 1 No relieve Inanim 21 0
2011 Bare No help 1 No ventilate Inanim 21 0
2011 Bare No help 1 No prevent Inanim 21 0
2011 Bare No help 1 No reshape Inanim 21 0
2011 Bare No help 1 No bolster Inanim 21 0
2011 Bare No help 1 No set Inanim 21 0
2011 Bare No help 1 No quell Inanim 21 0
2011 TO No help 1 No offset Inanim 21 0
2011 TO No help 1 No get Inanim 21 0
2011 TO No help 1 No limit Inanim 21 0
2011 Bare No help 1 No treat Inanim 21 0
2011 Bare No help 1 No treat Inanim 21 0
2011 Bare No help 1 No protect Inanim 21 0
2011 Bare Yes help 1 No repel Inanim 21 0
2011 Bare Yes help 1 No struggle Missing 21 0
2011 Bare Yes help 1 No preserve Missing 21 0
2011 Bare Yes help 1 No prevent Missing 21 0
2011 Bare Yes help 1 No raise Missing 21 0
2011 Bare Yes help 1 No offset Missing 21 0
2011 Bare Yes help 1 No suppress Missing 21 0
2011 Bare Yes help 1 No recharge Missing 21 0
2011 Bare Yes help 1 No encourage Missing 21 0
2010 Bare No help 1 No repel Anim 20 0
2010 Bare Yes help 1 No protect Anim 20 0
2010 Bare Yes help 1 No teach Anim 20 0
2010 Bare Yes help 1 No end Anim 20 0
2010 Bare No help 1 No identify Inanim 20 0
2010 Bare No help 1 No prevent Inanim 20 0
2010 Bare No help 1 No determine Inanim 20 0
2010 Bare No help 1 No improve Inanim 20 0
2010 Bare No help 1 No keep Inanim 20 0
2010 Bare No help 1 No protect Inanim 20 0
2010 Bare No help 1 No conceal Inanim 20 0
2010 Bare No help 1 No define Inanim 20 0
2010 Bare No help 1 No improve Inanim 20 0
2010 Bare No help 1 No address Inanim 20 0
2010 Bare No help 1 No diagnose Inanim 20 0
2010 Bare No help 1 No keep Inanim 20 0
2010 Bare No help 1 No point Inanim 20 0
2010 TO No help 1 No lower Inanim 20 0
2010 Bare No help 1 No make Inanim 20 0
2010 Bare No help 1 No nurture Inanim 20 0
2010 TO No help 1 No detect Inanim 20 0
2010 TO No help 1 No calm Inanim 20 0
2010 TO No help 1 No build Inanim 20 0
2010 Bare Yes help 1 No create Inanim 20 0
2010 Bare No help 1 No jump_start Missing 20 0
2010 Bare Yes help 1 No stabilize Missing 20 0
2010 Bare Yes help 1 No bolster Missing 20 0
2010 Bare Yes help 1 No put Missing 20 0
2010 Bare Yes help 1 No prevent Missing 20 0
2010 Bare Yes help 1 No re-establish Missing 20 0
2009 Bare No help 1 No provide Anim 19 0
2009 Bare No help 1 No save Anim 19 0
2009 Bare No help 1 No prep Anim 19 0
2009 Bare No help 1 No define Anim 19 0
2009 Bare Yes help 1 No dig Anim 19 0
2009 Bare Yes help 1 No spread Anim 19 0
2009 Bare Yes help 1 No transform Anim 19 0
2009 Bare Yes help 1 No stop Anim 19 0
2009 Bare Yes help 1 No pick Anim 19 0
2009 Bare Yes help 1 No squeeze Anim 19 0
2009 Bare No help 1 No identify Inanim 19 0
2009 Bare No help 1 No remineralize Inanim 19 0
2009 Bare No help 1 No shape Inanim 19 0
2009 Bare No help 1 No contribute Inanim 19 0
2009 Bare No help 1 No restore Inanim 19 0
2009 Bare No help 1 No determine Inanim 19 0
2009 Bare No help 1 No relieve Inanim 19 0
2009 Bare No help 1 No overcome Inanim 19 0
2009 Bare No help 1 No popularize Inanim 19 0
2009 Bare No help 1 No abate Inanim 19 0
2009 Bare No help 1 No relax Inanim 19 0
2009 Bare No help 1 No support Inanim 19 0
2009 Bare No help 1 No ease Inanim 19 0
2009 Bare No help 1 No make Inanim 19 0
2009 Bare No help 1 No prevent Inanim 19 0
2009 Bare No help 1 No minimize Inanim 19 0
2009 Bare No help 1 No combat Inanim 19 0
2009 Bare Yes help 1 No manage Inanim 19 0
2009 Bare Yes help 1 No predict Missing 19 0
2009 Bare No help 1 No hold Missing 19 0
2009 Bare Yes help 1 No reassure Missing 19 0
2008 Bare No help 1 No aerate Anim 18 0
2008 Bare No help 1 No modify Anim 18 0
2008 Bare No help 1 No ensure Anim 18 0
2008 Bare No help 1 No ensure Anim 18 0
2008 TO No help 1 No solve Anim 18 0
2008 Bare Yes help 1 No bring Anim 18 0
2008 Bare Yes help 1 No manage Anim 18 0
2008 Bare Yes help 1 No create Anim 18 0
2008 Bare Yes help 1 No stabilize Anim 18 0
2008 Bare No help 1 No regulate Inanim 18 0
2008 Bare No help 1 No determine Inanim 18 0
2008 Bare No help 1 No insulate Inanim 18 0
2008 Bare No help 1 No awaken Inanim 18 0
2008 Bare No help 1 No keep Inanim 18 0
2008 Bare No help 1 No achieve Inanim 18 0
2008 Bare No help 1 No promote Inanim 18 0
2008 Bare No help 1 No prevent Inanim 18 0
2008 Bare No help 1 No keep Inanim 18 0
2008 Bare No help 1 No reinforce Inanim 18 0
2008 Bare No help 1 No inform Inanim 18 0
2008 Bare No help 1 No cut Inanim 18 0
2008 Bare No help 1 No fight Inanim 18 0
2008 Bare No help 1 No speed Inanim 18 0
2008 Bare No help 1 No reduce Inanim 18 0
2008 Bare No help 1 No alleviate Inanim 18 0
2008 Bare No help 1 No prevent Inanim 18 0
2008 Bare No help 1 No explain Inanim 18 0
2008 Bare No help 1 No transform Inanim 18 0
2008 Bare No help 1 No fight Inanim 18 0
2008 Bare No help 1 No customize Inanim 18 0
2008 Bare No help 1 No identify Inanim 18 0
2008 Bare No help 1 No restore Inanim 18 0
2008 TO No help 1 No prevent Inanim 18 0
2008 Bare Yes help 1 No maintain Inanim 18 0
2008 Bare Yes help 1 No destroy Inanim 18 0
2008 Bare Yes help 1 No control Inanim 18 0
2008 Bare No help 1 No fertilize Missing 18 0
2008 Bare Yes help 1 No ease Missing 18 0
2008 Bare Yes help 1 No achieve Missing 18 0
2008 Bare Yes help 1 No keep Missing 18 0
2008 Bare Yes help 1 No keep Missing 18 0
2008 Bare Yes help 1 No insulate Missing 18 0
2008 Bare Yes help 1 No fade Missing 18 0
2008 Bare Yes help 1 No train Missing 18 0
2008 Bare No help 1 No diminish Missing 18 0
2007 Bare No help 1 No defend Anim 17 0
2007 Bare No help 1 No make Anim 17 0
2007 Bare No help 1 No conjure Anim 17 0
2007 Bare Yes help 1 No capture Anim 17 0
2007 Bare Yes help 1 No bankroll Anim 17 0
2007 Bare Yes help 1 No start Anim 17 0
2007 Bare Yes help 1 No care Anim 17 0
2007 Bare Yes help 1 No underwrite Anim 17 0
2007 Bare Yes help 1 No converge Anim 17 0
2007 Bare Yes help 1 No rebuild Anim 17 0
2007 Bare No help 1 No preserve Inanim 17 0
2007 Bare No help 1 No prevent Inanim 17 0
2007 Bare No help 1 No propel Inanim 17 0
2007 Bare No help 1 No rebuild Inanim 17 0
2007 Bare No help 1 No hydrate Inanim 17 0
2007 Bare No help 1 No increase Inanim 17 0
2007 Bare No help 1 No deliver Inanim 17 0
2007 TO No help 1 No reinforce Inanim 17 0
2007 Bare No help 1 No keep Inanim 17 0
2007 Bare No help 1 No create Inanim 17 0
2007 Bare No help 1 No reduce Inanim 17 0
2007 Bare No help 1 No shape Inanim 17 0
2007 Bare No help 1 No heal Inanim 17 0
2007 Bare No help 1 No lure Inanim 17 0
2007 Bare No help 1 No keep Inanim 17 0
2007 Bare No help 1 No prevent Inanim 17 0
2007 Bare No help 1 No increase Inanim 17 0
2007 Bare No help 1 No maintain Inanim 17 0
2007 Bare No help 1 No reveal Inanim 17 0
2007 Bare No help 1 No protect Inanim 17 0
2007 Bare Yes help 1 No slow Inanim 17 0
2007 Bare Yes help 1 No overcome Missing 17 0
2007 Bare Yes help 1 No launch Missing 17 0
2007 Bare Yes help 1 No reinstate Missing 17 0
2007 Bare Yes help 1 No prevent Missing 17 0
2007 Bare Yes help 1 No boost Missing 17 0
2007 Bare Yes help 1 No stabilize Missing 17 0
2006 Bare No help 1 No kick Anim 16 0
2006 Bare No help 1 No ease Anim 16 0
2006 TO No help 1 No set Anim 16 0
2006 Bare No help 1 No preserve Anim 16 0
2006 Bare No help 1 No make Anim 16 0
2006 TO No help 1 No confirm Anim 16 0
2006 Bare Yes help 1 No solidify Anim 16 0
2006 Bare No help 1 No produce Inanim 16 0
2006 Bare No help 1 No keep Inanim 16 0
2006 Bare No help 1 No promote Inanim 16 0
2006 Bare No help 1 No get Inanim 16 0
2006 Bare No help 1 No explain Inanim 16 0
2006 Bare No help 1 No dilute Inanim 16 0
2006 TO No help 1 No increase Inanim 16 0
2006 TO No help 1 No distinguish Inanim 16 0
2006 TO No help 1 No determine Inanim 16 0
2006 TO No help 1 No open Inanim 16 0
2006 Bare No help 1 No prevent Inanim 16 0
2006 Bare No help 1 No reduce Inanim 16 0
2006 Bare No help 1 No lower Inanim 16 0
2006 Bare No help 1 No bring Inanim 16 0
2006 Bare No help 1 No reduce Inanim 16 0
2006 Bare No help 1 No spot Inanim 16 0
2006 Bare No help 1 No keep Inanim 16 0
2006 Bare No help 1 No stimulate Inanim 16 0
2006 Bare No help 1 No prevent Missing 16 0
2006 Bare Yes help 1 No rebuild Missing 16 0
2006 Bare Yes help 1 No forge Missing 16 0
2006 Bare Yes help 1 No finance Missing 16 0
2006 Bare Yes help 1 No boost Missing 16 0
2006 Bare Yes help 1 No nurture Missing 16 0
2006 Bare Yes help 1 No control Missing 16 0
2006 Bare Yes help 1 No lower Missing 16 0
2006 Bare Yes help 1 No restore Missing 16 0
2006 Bare Yes help 1 No cut Missing 16 0
2006 Bare Yes help 1 No heat Missing 16 0
2005 Bare No help 1 No weave Anim 15 0
2005 Bare No help 1 No grapple Anim 15 0
2005 Bare No help 1 No lead Anim 15 0
2005 Bare Yes help 1 No quell Anim 15 0
2005 Bare Yes help 1 No realize Anim 15 0
2005 Bare Yes help 1 No ensure Anim 15 0
2005 Bare No help 1 No heal Inanim 15 0
2005 Bare No help 1 No prevent Inanim 15 0
2005 Bare No help 1 No end Inanim 15 0
2005 Bare No help 1 No seal Inanim 15 0
2005 Bare No help 1 No clear Inanim 15 0
2005 Bare No help 1 No reduce Inanim 15 0
2005 Bare No help 1 No tell Inanim 15 0
2005 TO No help 1 No whisk Inanim 15 0
2005 TO No help 1 No dissolve Inanim 15 0
2005 TO No help 1 No get Inanim 15 0
2005 TO No help 1 No confirm Inanim 15 0
2005 Bare No help 1 No strengthen Inanim 15 0
2005 Bare No help 1 No forge Inanim 15 0
2005 Bare No help 1 No ease Inanim 15 0
2005 Bare No help 1 No streamline Inanim 15 0
2005 Bare No help 1 No keep Inanim 15 0
2005 Bare No help 1 No explain Inanim 15 0
2005 Bare No help 1 No strengthen Inanim 15 0
2005 Bare Yes help 1 No combat Inanim 15 0
2005 Bare Yes help 1 No create Missing 15 0
2005 Bare Yes help 1 No firm Missing 15 0
2005 Bare Yes help 1 No support Missing 15 0
2005 Bare Yes help 1 No keep Missing 15 0
2005 Bare Yes help 1 No lift Missing 15 0
2005 Bare Yes help 1 No push Missing 15 0
2005 Bare Yes help 1 No integrate Missing 15 0
2005 Bare Yes help 1 No alleviate Missing 15 0
2005 Bare Yes help 1 No add Missing 15 0
2005 Bare Yes help 1 No keep Missing 15 0
2005 Bare Yes help 1 No keep Missing 15 0
2004 Bare No help 1 No bring Anim 14 0
2004 Bare No help 1 No disguise Anim 14 0
2004 Bare No help 1 No maintain Anim 14 0
2004 TO No help 1 No carry Anim 14 0
2004 Bare No help 1 No develop Anim 14 0
2004 Bare Yes help 1 No train Anim 14 0
2004 Bare Yes help 1 No landscape Anim 14 0
2004 Bare No help 1 No protect Inanim 14 0
2004 Bare No help 1 No break Inanim 14 0
2004 Bare No help 1 No motivate Inanim 14 0
2004 Bare No help 1 No meet Inanim 14 0
2004 Bare No help 1 No reduce Inanim 14 0
2004 Bare No help 1 No improve Inanim 14 0
2004 Bare No help 1 No narrow Inanim 14 0
2004 Bare No help 1 No bring Inanim 14 0
2004 TO No help 1 No fuel Inanim 14 0
2004 Bare No help 1 No prevent Inanim 14 0
2004 Bare No help 1 No make Inanim 14 0
2004 Bare No help 1 No take Inanim 14 0
2004 Bare No help 1 No make Inanim 14 0
2004 TO No help 1 No eliminate Inanim 14 0
2004 Bare Yes help 1 No lift Inanim 14 0
2004 Bare Yes help 1 No make Missing 14 0
2004 Bare Yes help 1 No lower Missing 14 0
2004 Bare No help 1 No knit Missing 14 0
2004 Bare Yes help 1 No save Missing 14 0
2004 Bare Yes help 1 No illustrate Missing 14 0
2004 Bare Yes help 1 No heal Missing 14 0
2003 Bare No help 1 No fix Anim 13 0
2003 TO No help 1 No moderate Anim 13 0
2003 Bare No help 1 No make Anim 13 0
2003 Bare No help 1 No produce Anim 13 0
2003 Bare Yes help 1 No revive Anim 13 0
2003 Bare Yes help 1 No steer Anim 13 0
2003 Bare Yes help 1 No create Anim 13 0
2003 Bare No help 1 No relieve Inanim 13 0
2003 Bare No help 1 No create Inanim 13 0
2003 Bare No help 1 No break Inanim 13 0
2003 Bare No help 1 No take Inanim 13 0
2003 Bare No help 1 No rejuvenate Inanim 13 0
2003 Bare No help 1 No restore Inanim 13 0
2003 Bare No help 1 No keep Inanim 13 0
2003 Bare No help 1 No catch Inanim 13 0
2003 Bare No help 1 No warm Inanim 13 0
2003 Bare No help 1 No ward Inanim 13 0
2003 TO No help 1 No reduce Inanim 13 0
2003 TO No help 1 No prevent Inanim 13 0
2003 Bare No help 1 No identify Inanim 13 0
2003 Bare No help 1 No control Inanim 13 0
2003 Bare No help 1 No reduce Inanim 13 0
2003 Bare No help 1 No regulate Inanim 13 0
2003 Bare No help 1 No define Inanim 13 0
2003 Bare No help 1 No reduce Inanim 13 0
2003 Bare No help 1 No promote Inanim 13 0
2003 Bare Yes help 1 No reduce Inanim 13 0
2003 Bare Yes help 1 No preserve Missing 13 0
2003 Bare Yes help 1 No simulate Missing 13 0
2003 Bare Yes help 1 No create Missing 13 0
2003 Bare Yes help 1 No prevent Missing 13 0
2003 Bare Yes help 1 No protect Missing 13 0
2002 Bare No help 1 No bring Anim 12 0
2002 Bare No help 1 No halt Anim 12 0
2002 TO No help 1 No remove Anim 12 0
2002 Bare Yes help 1 No pilot Anim 12 0
2002 Bare Yes help 1 No steer Anim 12 0
2002 Bare Yes help 1 No restore Anim 12 0
2002 Bare No help 1 No prevent Inanim 12 0
2002 Bare No help 1 No prevent Inanim 12 0
2002 Bare No help 1 No improve Inanim 12 0
2002 Bare No help 1 No get Inanim 12 0
2002 Bare No help 1 No reveal Inanim 12 0
2002 Bare No help 1 No control Inanim 12 0
2002 Bare No help 1 No prolong Inanim 12 0
2002 Bare No help 1 No fill Inanim 12 0
2002 Bare No help 1 No cover Inanim 12 0
2002 Bare No help 1 No render Inanim 12 0
2002 Bare No help 1 No determine Inanim 12 0
2002 Bare No help 1 No increase Inanim 12 0
2002 TO No help 1 No fend Inanim 12 0
2002 TO No help 1 No keep Inanim 12 0
2002 Bare No help 1 No prevent Inanim 12 0
2002 Bare No help 1 No increase Inanim 12 0
2002 Bare No help 1 No inhibit Inanim 12 0
2002 Bare No help 1 No ease Inanim 12 0
2002 Bare No help 1 No keep Inanim 12 0
2002 TO No help 1 No boost Inanim 12 0
2002 Bare Yes help 1 No relieve Inanim 12 0
2002 Bare No help 1 No loosen Missing 12 0
2002 Bare Yes help 1 No optimize Missing 12 0
2002 Bare Yes help 1 No alleviate Missing 12 0
2002 Bare Yes help 1 No fight Missing 12 0
2002 Bare Yes help 1 No decorate Missing 12 0
2002 Bare Yes help 1 No counteract Missing 12 0
2002 Bare Yes help 1 No prevent Missing 12 0
2001 Bare No help 1 No prevent Anim 11 0
2001 Bare No help 1 No make Anim 11 0
2001 Bare No help 1 No shape Anim 11 0
2001 Bare No help 1 No revive Anim 11 0
2001 Bare Yes help 1 No clean Anim 11 0
2001 Bare Yes help 1 No spare Anim 11 0
2001 Bare Yes help 1 No shepherd Anim 11 0
2001 Bare Yes help 1 No clean Anim 11 0
2001 Bare No help 1 No transfer Inanim 11 0
2001 Bare No help 1 No stabilize Inanim 11 0
2001 Bare No help 1 No prepare Inanim 11 0
2001 Bare No help 1 No cut Inanim 11 0
2001 Bare No help 1 No reduce Inanim 11 0
2001 Bare No help 1 No communicate Inanim 11 0
2001 Bare No help 1 No drive Inanim 11 0
2001 TO No help 1 No decrease Inanim 11 0
2001 TO No help 1 No lower Inanim 11 0
2001 Bare No help 1 No prevent Inanim 11 0
2001 Bare No help 1 No create Inanim 11 0
2001 TO No help 1 No control Inanim 11 0
2001 TO No help 1 No introduce Inanim 11 0
2001 Bare Yes help 1 No spur Inanim 11 0
2001 Bare Yes help 1 No defray Missing 11 0
2001 Bare Yes help 1 No lift Missing 11 0
2001 Bare Yes help 1 No guide Missing 11 0
2001 Bare No help 1 No clean Missing 11 0
2001 Bare Yes help 1 No protect Missing 11 0
2001 Bare Yes help 1 No twist Missing 11 0
2001 Bare Yes help 1 No keep Missing 11 0
2001 Bare Yes help 1 No soothe Missing 11 0
2001 Bare Yes help 1 No support Missing 11 0
2001 Bare Yes help 1 No transform Missing 11 0
2001 Bare Yes help 1 No raise Missing 11 0
2000 Bare No help 1 No train Anim 10 0
2000 Bare No help 1 No shape Anim 10 0
2000 Bare No help 1 No relaunch Anim 10 0
2000 Bare Yes help 1 No care Anim 10 0
2000 Bare Yes help 1 No clean Anim 10 0
2000 Bare No help 1 No insulate Inanim 10 0
2000 Bare No help 1 No break Inanim 10 0
2000 Bare No help 1 No bring Inanim 10 0
2000 Bare No help 1 No explain Inanim 10 0
2000 Bare No help 1 No wipe Inanim 10 0
2000 Bare No help 1 No prevent Inanim 10 0
2000 Bare No help 1 No end Inanim 10 0
2000 TO No help 1 No save Inanim 10 0
2000 TO No help 1 No constrict Inanim 10 0
2000 Bare No help 1 No replace Inanim 10 0
2000 Bare No help 1 No prevent Inanim 10 0
2000 Bare No help 1 No diffuse Inanim 10 0
2000 Bare No help 1 No break Inanim 10 0
2000 Bare Yes help 1 No prevent Inanim 10 0
2000 Bare Yes help 1 No launch Missing 10 0
2000 Bare Yes help 1 No cancel Missing 10 0
2000 Bare Yes help 1 No preserve Missing 10 0
2000 Bare Yes help 1 No avoid Missing 10 0
2000 Bare Yes help 1 No keep Missing 10 0
2000 Bare No help 1 No avoid Missing 10 0
2000 Bare Yes help 1 No create Missing 10 0
2000 TO No help 1 No lower Missing 10 0
2000 Bare Yes help 1 No build Missing 10 0
2000 Bare Yes help 1 No secure Missing 10 0
1999 Bare No help 1 No protect Anim 9 0
1999 Bare Yes help 1 No find Anim 9 0
1999 Bare Yes help 1 No pay Anim 9 0
1999 Bare Yes help 1 No care Anim 9 0
1999 Bare Yes help 1 No shape Anim 9 0
1999 Bare Yes help 1 No eradicate Anim 9 0
1999 Bare No help 1 No calm Inanim 9 0
1999 Bare No help 1 No beat Inanim 9 0
1999 Bare No help 1 No hold Inanim 9 0
1999 Bare No help 1 No regress Inanim 9 0
1999 Bare No help 1 No dislodge Inanim 9 0
1999 Bare No help 1 No protect Inanim 9 0
1999 Bare No help 1 No prevent Inanim 9 0
1999 Bare No help 1 No equalize Inanim 9 0
1999 TO No help 1 No treat Inanim 9 0
1999 TO No help 1 No keep Inanim 9 0
1999 TO No help 1 No keep Inanim 9 0
1999 TO No help 1 No make Inanim 9 0
1999 Bare No help 1 No identify Inanim 9 0
1999 Bare No help 1 No relieve Inanim 9 0
1999 Bare No help 1 No keep Inanim 9 0
1999 Bare No help 1 No prevent Inanim 9 0
1999 Bare No help 1 No fend Inanim 9 0
1999 Bare No help 1 No protect Inanim 9 0
1999 Bare Yes help 1 No guide Inanim 9 0
1999 Bare Yes help 1 No prevent Inanim 9 0
1999 Bare Yes help 1 No open Anim 9 0
1999 Bare Yes help 1 No formulate Missing 9 0
1999 Bare Yes help 1 No meet Missing 9 0
1998 Bare No help 1 No develop Anim 8 0
1998 Bare Yes help 1 No write Anim 8 0
1998 Bare Yes help 1 No pound Anim 8 0
1998 Bare No help 1 No prevent Inanim 8 0
1998 Bare No help 1 No slow Inanim 8 0
1998 Bare No help 1 No relax Inanim 8 0
1998 Bare No help 1 No determine Inanim 8 0
1998 Bare No help 1 No defer Inanim 8 0
1998 Bare No help 1 No get Inanim 8 0
1998 Bare No help 1 No reduce Inanim 8 0
1998 Bare No help 1 No reduce Inanim 8 0
1998 Bare No help 1 No ward Inanim 8 0
1998 Bare No help 1 No close Inanim 8 0
1998 TO No help 1 No maintain Inanim 8 0
1998 Bare Yes help 1 No stop Missing 8 0
1998 Bare Yes help 1 No prevent Missing 8 0
1998 Bare Yes help 1 No halt Missing 8 0
1998 Bare Yes help 1 No sell Missing 8 0
1998 Bare Yes help 1 No see Missing 8 0
1998 Bare Yes help 1 No revitalize Missing 8 0
1998 Bare Yes help 1 No slow Missing 8 0
1997 Bare No help 1 No solve Anim 7 0
1997 Bare No help 1 No pull Anim 7 0
1997 Bare No help 1 No support Anim 7 0
1997 Bare Yes help 1 No restore Anim 7 0
1997 Bare Yes help 1 No expedite Anim 7 0
1997 Bare Yes help 1 No realize Anim 7 0
1997 Bare Yes help 1 No launch Anim 7 0
1997 Bare No help 1 No identify Inanim 7 0
1997 Bare No help 1 No lose Inanim 7 0
1997 Bare No help 1 No cut Inanim 7 0
1997 Bare No help 1 No prevent Inanim 7 0
1997 Bare No help 1 No persuade Inanim 7 0
1997 Bare No help 1 No further Inanim 7 0
1997 Bare No help 1 No dissolve Inanim 7 0
1997 Bare No help 1 No educate Inanim 7 0
